,ds,yhat
3287,2022-01-01,60809.2366388826
3288,2022-01-02,58836.52772036425
3289,2022-01-03,65878.58789001057
3290,2022-01-04,67782.13522520651
3291,2022-01-05,68448.16652922344
3292,2022-01-06,68910.01121870297
3293,2022-01-07,68845.33307280124
3294,2022-01-08,64456.90511091234
3295,2022-01-09,62628.125435012174
3296,2022-01-10,69753.92540501003
3297,2022-01-11,71680.13911175527
3298,2022-01-12,72308.14633719891
3299,2022-01-13,72672.90426013633
3300,2022-01-14,72454.89836959838
3301,2022-01-15,67860.83917819646
3302,2022-01-16,65779.07457627163
3303,2022-01-17,72610.37182882422
3304,2022-01-18,74207.14137514145
3305,2022-01-19,74477.91829462234
3306,2022-01-20,74465.22075574954
3307,2022-01-21,73857.32024826526
3308,2022-01-22,68868.75469530722
3309,2022-01-23,66395.55884152731
3310,2022-01-24,72845.87040596707
3311,2022-01-25,74078.98846325708
3312,2022-01-26,74009.70392430047
3313,2022-01-27,73686.02504449099
3314,2022-01-28,72800.83587886591
3315,2022-01-29,67572.32133215794
3316,2022-01-30,64899.13511741376
3317,2022-01-31,71190.97035009952
3318,2022-02-01,72307.60977140997
3319,2022-02-02,72163.2752849161
3320,2022-02-03,71804.39883959138
3321,2022-02-04,70921.35100548176
3322,2022-02-05,65728.95868444341
3323,2022-02-06,63121.78549600984
3324,2022-02-07,69504.8313016074
3325,2022-02-08,70732.72419895389
3326,2022-02-09,70714.2207116663
3327,2022-02-10,70490.1320599675
3328,2022-02-11,69745.20863727455
3329,2022-02-12,64688.80995315948
3330,2022-02-13,62210.32955433347
3331,2022-02-14,68710.02761849943
3332,2022-02-15,70038.34114608166
3333,2022-02-16,70100.48451748659
3334,2022-02-17,69934.45587159629
3335,2022-02-18,69222.97958764521
3336,2022-02-19,64174.210921494545
3337,2022-02-20,61677.17175742317
3338,2022-02-21,68132.57028837186
3339,2022-02-22,69392.07532546273
3340,2022-02-23,69362.859409707
3341,2022-02-24,69085.52817108648
3342,2022-02-25,68245.96872912202
3343,2022-02-26,63055.94614458541
3344,2022-02-27,60408.42020156068
3345,2022-02-28,66708.2389138276
3346,2022-03-01,67811.28319486631
3347,2022-03-02,67628.88065709246
3348,2022-03-03,67205.60971974581
3349,2022-03-04,66231.0303943753
3350,2022-03-05,60920.17407017993
3351,2022-03-06,58168.767538519794
3352,2022-03-07,64383.850176265376
3353,2022-03-08,65422.860751187705
3354,2022-03-09,65198.01328311709
3355,2022-03-10,64754.08401591224
3356,2022-03-11,63780.14613238351
3357,2022-03-12,58490.08418267951
3358,2022-03-13,55777.86251405542
3359,2022-03-14,62048.20510338798
3360,2022-03-15,63155.761218421045
3361,2022-03-16,63009.573847623906
3362,2022-03-17,62650.97008094357
3363,2022-03-18,61765.4069048069
3364,2022-03-19,56563.10101382422
3365,2022-03-20,53934.413457102295
3366,2022-03-21,60280.64305053465
3367,2022-03-22,61453.29961203025
3368,2022-03-23,61358.670788099014
3369,2022-03-24,61035.79877181021
3370,2022-03-25,60168.39786402025
3371,2022-03-26,54965.53941068507
3372,2022-03-27,52317.0733642647
3373,2022-03-28,58624.439373013156
3374,2022-03-29,59739.93799689197
3375,2022-03-30,59571.275940964406
3376,2022-03-31,59159.50230125939
3377,2022-04-01,58190.868021262715
3378,2022-04-02,52877.43684922193
3379,2022-04-03,50112.41926005112
3380,2022-04-04,56300.88485304593
3381,2022-04-05,57298.92674547846
3382,2022-04-06,57018.09500233372
3383,2022-04-07,56503.21938164908
3384,2022-04-08,55444.156917593726
3385,2022-04-09,50056.29589783462
3386,2022-04-10,47235.79081330091
3387,2022-04-11,53390.186664009765
3388,2022-04-12,54377.50868884768
3389,2022-04-13,54110.6367106909
3390,2022-04-14,53635.086068829274
3391,2022-04-15,52640.73184836495
3392,2022-04-16,47342.30861262284
3393,2022-04-17,44634.66031105087
3394,2022-04-18,50923.39828532743
3395,2022-04-19,52064.04244050123
3396,2022-04-20,51966.46326197416
3397,2022-04-21,51672.74467626933
3398,2022-04-22,50869.002086463006
3399,2022-04-23,45765.985074592616
3400,2022-04-24,43254.43647560032
3401,2022-04-25,49735.86260854362
3402,2022-04-26,51061.78651913323
3403,2022-04-27,51138.29871704111
3404,2022-04-28,51004.02231743036
3405,2022-04-29,50342.02402635106
3406,2022-04-30,45360.49785084537
3407,2022-05-01,42948.190981116975
3408,2022-05-02,49505.22479077599
3409,2022-05-03,50882.3814391059
3410,2022-05-04,50985.66969420466
3411,2022-05-05,50854.28655253321
3412,2022-05-06,50172.50629547391
3413,2022-05-07,45150.32459412248
3414,2022-05-08,42678.82834346193
3415,2022-05-09,49160.94587366369
3416,2022-05-10,50450.65013729397
3417,2022-05-11,50457.430959866106
3418,2022-05-12,50224.15567511124
3419,2022-05-13,49438.85273004216
3420,2022-05-14,44315.24892661636
3421,2022-05-15,41748.03405957294
3422,2022-05-16,48143.5106093918
3423,2022-05-17,49358.7039470708
3424,2022-05-18,49305.75175975858
3425,2022-05-19,49029.69432981468
3426,2022-05-20,48220.202187317824
3427,2022-05-21,43092.0733073959
3428,2022-05-22,40540.47464473932
3429,2022-05-23,46971.58619747591
3430,2022-05-24,48241.723078732284
3431,2022-05-25,48261.753815294534
3432,2022-05-26,48074.93552473391
3433,2022-05-27,47368.70104634453
3434,2022-05-28,42355.228336351924
3435,2022-05-29,39926.76469745045
3436,2022-05-30,46486.36151890782
3437,2022-05-31,47887.09227001699
3438,2022-06-01,48036.569093958125
3439,2022-06-02,47974.87572678696
3440,2022-06-03,47386.44892427666
3441,2022-06-04,42480.73593112251
3442,2022-06-05,40147.597985854605
3443,2022-06-06,46788.11323288239
3444,2022-06-07,48253.84982058068
3445,2022-06-08,48451.422963122815
3446,2022-06-09,48420.452562164384
3447,2022-06-10,47845.45291385067
3448,2022-06-11,42936.48186767858
3449,2022-06-12,40584.51975418433
3450,2022-06-13,47192.23225803688
3451,2022-06-14,48613.18927582125
3452,2022-06-15,48756.35521364857
3453,2022-06-16,48663.96936480208
3454,2022-06-17,48023.35024244273
3455,2022-06-18,43047.45381885608
3456,2022-06-19,40630.158732484924
3457,2022-06-20,47176.935461797395
3458,2022-06-21,48543.97432294808
3459,2022-06-22,48642.590477351994
3460,2022-06-23,48517.02715271483
3461,2022-06-24,47856.19327499612
3462,2022-06-25,42874.167475960814
3463,2022-06-26,40465.443183473144
3464,2022-06-27,47035.57302534784
3465,2022-06-28,48440.28818484351
3466,2022-06-29,48589.911204059594
3467,2022-06-30,48527.18326786498
3468,2022-07-01,47939.041520773506
3469,2022-07-02,43037.177280483214
3470,2022-07-03,40713.34833161965
3471,2022-07-04,47370.10162826642
3472,2022-07-05,48859.979817721374
3473,2022-07-06,49090.027597761014
3474,2022-07-07,49099.716268523945
3475,2022-07-08,48572.81925017948
3476,2022-07-09,43718.066618059536
3477,2022-07-10,41424.549077072574
3478,2022-07-11,48092.52507072342
3479,2022-07-12,49572.702007743326
3480,2022-07-13,49770.805460488235
3481,2022-07-14,49725.55287229193
3482,2022-07-15,49120.56310300179
3483,2022-07-16,44165.02884755432
3484,2022-07-17,41749.12178233338
3485,2022-07-18,48274.78403463404
3486,2022-07-19,49594.97732402773
3487,2022-07-20,49618.20445215696
3488,2022-07-21,49386.42093025952
3489,2022-07-22,48586.86972021821
3490,2022-07-23,43432.66811649255
3491,2022-07-24,40818.11890610891
3492,2022-07-25,47149.40190775364
3493,2022-07-26,48283.719899441305
3494,2022-07-27,48133.71635007669
3495,2022-07-28,47745.28548616688
3496,2022-07-29,46809.31033881255
3497,2022-07-30,41542.16032129182
3498,2022-07-31,38840.9227836022
3499,2022-08-01,45114.02667766413
3500,2022-08-02,46220.33404646572
3501,2022-08-03,46073.51808261966
3502,2022-08-04,45719.8492121996
3503,2022-08-05,44849.9253464057
3504,2022-08-06,39679.1779130337
3505,2022-08-07,37103.12774257592
3506,2022-08-08,43528.048155112774
3507,2022-08-09,44810.10978190058
3508,2022-08-10,44859.82433638257
3509,2022-08-11,44719.90695238314
3510,2022-08-12,44077.091143490834
3511,2022-08-13,39142.72571588938
3512,2022-08-14,36808.125305384565
3513,2022-08-15,43475.32942215359
3514,2022-08-16,44996.34208695352
3515,2022-08-17,45277.66689982597
3516,2022-08-18,45358.254927311056
3517,2022-08-19,44921.39742981254
3518,2022-08-20,40175.3909802087
3519,2022-08-21,38008.94515802596
3520,2022-08-22,44821.986545181615
3521,2022-08-23,46464.93030325886
3522,2022-08-24,46843.233735625065
3523,2022-08-25,46995.34915421315
3524,2022-08-26,46604.608367199195
3525,2022-08-27,41879.866978880105
3526,2022-08-28,39710.87964314918
3527,2022-08-29,46499.06123507624
3528,2022-08-30,48096.70669768423
3529,2022-08-31,48411.48563413117
3530,2022-09-01,48484.33076849787
3531,2022-09-02,48001.25447629175
3532,2022-09-03,43173.92348544227
3533,2022-09-04,40894.96476779381
3534,2022-09-05,47568.65938112126
3535,2022-09-06,49050.098680751995
3536,2022-09-07,49249.62045803106
3537,2022-09-08,49210.64540221359
3538,2022-09-09,48621.44911874431
3539,2022-09-10,43695.700573682494
3540,2022-09-11,41327.74047801034
3541,2022-09-12,47923.256587860764
3542,2022-09-13,49338.43028276054
3543,2022-09-14,49484.37166355864
3544,2022-09-15,49404.963013807035
3545,2022-09-16,48788.64509621987
3546,2022-09-17,43848.976217426214
3547,2022-09-18,41479.93650246751
3548,2022-09-19,48086.63318766362
3549,2022-09-20,49524.48007528425
3550,2022-09-21,49703.667164367864
3551,2022-09-22,49667.03910833082
3552,2022-09-23,49101.915849843994
3553,2022-09-24,44220.68435397588
3554,2022-09-25,41916.133006624295
3555,2022-09-26,48592.183774862046
3556,2022-09-27,50103.09474082677
3557,2022-09-28,50357.94868136942
3558,2022-09-29,50398.54619540788
3559,2022-09-30,49911.23676938651
3560,2022-10-01,45107.516918756344
3561,2022-10-02,42879.36734916108
3562,2022-10-03,49629.98474576685
3563,2022-10-04,51212.98142203275
3564,2022-10-05,51536.86919490128
3565,2022-10-06,51642.94672390948
3566,2022-10-07,51217.1244459077
3567,2022-10-08,46470.516954676685
3568,2022-10-09,44294.775417236044
3569,2022-10-10,51092.81618926134
3570,2022-10-11,52718.019294617174
3571,2022-10-12,53078.71342701168
3572,2022-10-13,53216.066844995716
3573,2022-10-14,52815.91825873411
3574,2022-10-15,48089.377356057266
3575,2022-10-16,45928.167193562775
3576,2022-10-17,52735.3640988437
3577,2022-10-18,54364.60809790282
3578,2022-10-19,54724.59976940232
3579,2022-10-20,54857.00206078208
3580,2022-10-21,54448.28028658533
3581,2022-10-22,49710.30907184016
3582,2022-10-23,47535.71761494015
3583,2022-10-24,54328.62813702048
3584,2022-10-25,55943.8598636985
3585,2022-10-26,56291.41391838673
3586,2022-10-27,56414.357317543916
3587,2022-10-28,56000.639147649825
3588,2022-10-29,51263.66776941908
3589,2022-10-30,49097.620743229796
3590,2022-10-31,55908.14290246363
3591,2022-11-01,57551.505717611435
3592,2022-11-02,57939.04435110131
3593,2022-11-03,58114.99181708795
3594,2022-11-04,57768.244723560056
3595,2022-11-05,53112.89097675982
3596,2022-11-06,51043.47276990559
3597,2022-11-07,57965.64195653465
3598,2022-11-08,59735.28261747241
3599,2022-11-09,60262.91882524242
3600,2022-11-10,60591.52850797576
3601,2022-11-11,60408.29920506062
3602,2022-11-12,55925.157187970406
3603,2022-11-13,54034.044091632415
3604,2022-11-14,61137.59867127668
3605,2022-11-15,63088.31866535917
3606,2022-11-16,63793.020575798735
3607,2022-11-17,64290.71769554999
3608,2022-11-18,64264.451223374
3609,2022-11-19,59921.90461495832
3610,2022-11-20,58150.7736405961
3611,2022-11-21,65349.547769435056
3612,2022-11-22,67366.77559007966
3613,2022-11-23,68105.62958290346
3614,2022-11-24,68601.88791510717
3615,2022-11-25,68535.86534399423
3616,2022-11-26,64113.120600430586
3617,2022-11-27,62219.91000011347
3618,2022-11-28,69254.0403112138
3619,2022-11-29,71064.19120547271
3620,2022-11-30,71554.52050606362
3621,2022-12-01,71762.6681516011
3622,2022-12-02,71371.68961804044
3623,2022-12-03,66590.7452878137
3624,2022-12-04,64310.51513003881
3625,2022-12-05,70933.99186315922
3626,2022-12-06,72315.72360900673
3627,2022-12-07,72366.32047214448
3628,2022-12-08,72130.34270580472
3629,2022-12-09,71298.10344027622
3630,2022-12-10,66086.21514348507
3631,2022-12-11,63392.852246863105
3632,2022-12-12,69628.38649538299
3633,2022-12-13,70654.46965765905
3634,2022-12-14,70388.38180607664
3635,2022-12-15,69880.766660525
3636,2022-12-16,68827.29076136471
3637,2022-12-17,63449.059289761106
3638,2022-12-18,60647.76437832403
3639,2022-12-19,66836.22554954173
3640,2022-12-20,67877.39957932699
3641,2022-12-21,67688.68016356522
3642,2022-12-22,67319.61049095292
3643,2022-12-23,66463.54648840716
3644,2022-12-24,61338.10391254394
3645,2022-12-25,58840.364821114854
3646,2022-12-26,65377.502085603795
3647,2022-12-27,66805.8976146293
3648,2022-12-28,67035.57241843223
3649,2022-12-29,67108.04880003093
3650,2022-12-30,66708.1791156614
3651,2022-12-31,62044.770526949265
3652,2023-01-01,60005.97719061381
3653,2023-01-02,66990.11422347717
3654,2023-01-03,68844.96465798233
3655,2023-01-04,69472.39304977171
3656,2023-01-05,69906.38164805007
3657,2023-01-06,69825.01940636477
3658,2023-01-07,65431.26940564778
3659,2023-01-08,63608.48270069499
3660,2023-01-09,70751.30999729969
3661,2023-01-10,72705.08002740066
3662,2023-01-11,73370.4565795321
3663,2023-01-12,73781.4890814986
3664,2023-01-13,73617.58671689968
3665,2023-01-14,69084.24207920818
3666,2023-01-15,67068.47352382314
3667,2023-01-16,73969.6394644937
3668,2023-01-17,75638.69596392423
3669,2023-01-18,75982.71263704948
3670,2023-01-19,76042.7653275913
3671,2023-01-20,75505.73951074673
3672,2023-01-21,70584.87470436798
3673,2023-01-22,68175.0235227354
3674,2023-01-23,74683.2831728272
3675,2023-01-24,75968.07525784743
3676,2023-01-25,75943.49326649084
3677,2023-01-26,75657.04030041018
3678,2023-01-27,74801.29471190355
3679,2023-01-28,69594.33718450462
3680,2023-01-29,66934.91559057978
3681,2023-01-30,73233.00750666487
3682,2023-01-31,74348.85766281441
3683,2023-02-01,74197.31041341084
3684,2023-02-02,73825.55977361464
3685,2023-02-03,72924.85397386609
3686,2023-02-04,67710.98665763851
3687,2023-02-05,65079.54900364221
3688,2023-02-06,71436.6000151335
3689,2023-02-07,72637.82910306306
3690,2023-02-08,72593.02747913217
3691,2023-02-09,72343.9870080243
3692,2023-02-10,71576.35936080484
3693,2023-02-11,66500.30338076675
3694,2023-02-12,64005.89074067236
3695,2023-02-13,70493.9230565996
3696,2023-02-14,71815.23074224888
3697,2023-02-15,71875.26661366073
3698,2023-02-16,71712.10981610001
3699,2023-02-17,71008.41034675516
3700,2023-02-18,65972.10009031321
3701,2023-02-19,63491.83907508538
3702,2023-02-20,69967.84939825934
3703,2023-02-21,71251.20705543214
3704,2023-02-22,71248.4052973943
3705,2023-02-23,70999.30633763396
3706,2023-02-24,70189.01353291229
3707,2023-02-25,65028.49234152337
3708,2023-02-26,62409.911622187516
3709,2023-02-27,68737.36095868707
3710,2023-02-28,69866.01777021535
3711,2023-03-01,69706.58154005355
3712,2023-03-02,69303.09577444903
3713,2023-03-03,68344.69357362589
3714,2023-03-04,63046.09874346606
3715,2023-03-05,60302.85739814547
3716,2023-03-06,66521.95879486912
3717,2023-03-07,67560.92180240594
3718,2023-03-08,67332.16649017138
3719,2023-03-09,66880.79306189199
3720,2023-03-10,65896.3050412514
3721,2023-03-11,60593.1090559042
3722,2023-03-12,57865.76597069988
3723,2023-03-13,64119.65130831333
3724,2023-03-14,65210.09997750472
3725,2023-03-15,65046.85288349626
3726,2023-03-16,64671.92525817102
3727,2023-03-17,63771.43083148623
3728,2023-03-18,58556.19108735347
3729,2023-03-19,55917.10102747814
3730,2023-03-20,62255.905927209395
3731,2023-03-21,63424.46062431808
3732,2023-03-22,63329.28551145822
3733,2023-03-23,63009.53584033866
3734,2023-03-24,62148.915496523805
3735,2023-03-25,56956.36187659937
3736,2023-03-26,54321.4711054275
3737,2023-03-27,60645.31637771502
3738,2023-03-28,61779.72979891984
3739,2023-03-29,61631.86129356613
3740,2023-03-30,61242.1311667734
3741,2023-03-31,60296.108030769894
3742,2023-04-01,55005.139839938915
3743,2023-04-02,52261.70890591211
3744,2023-04-03,58470.16578427333
3745,2023-04-04,59485.91492370175
