,ds,yhat
0,2013-01-01 00:30:00,68745.61613668618
1,2013-01-01 01:00:00,67991.01641107893
2,2013-01-01 01:30:00,66882.74233870707
3,2013-01-01 02:00:00,65481.69503833083
4,2013-01-01 02:30:00,63937.50812723745
5,2013-01-01 03:00:00,62462.39744569932
6,2013-01-01 03:30:00,61288.219122476075
7,2013-01-01 04:00:00,60617.12449066865
8,2013-01-01 04:30:00,60577.89752141226
9,2013-01-01 05:00:00,61198.63874076429
10,2013-01-01 05:30:00,62402.299062946215
11,2013-01-01 06:00:00,64025.76613200631
12,2013-01-01 06:30:00,65857.28861626102
13,2013-01-01 07:00:00,67682.53498864091
14,2013-01-01 07:30:00,69327.67884360257
15,2013-01-01 08:00:00,70689.04665462142
16,2013-01-01 08:30:00,71742.70946519334
17,2013-01-01 09:00:00,72532.88828187292
18,2013-01-01 09:30:00,73143.69003422117
19,2013-01-01 10:00:00,73662.98750481628
20,2013-01-01 10:30:00,74149.07170947843
21,2013-01-01 11:00:00,74609.58666605032
22,2013-01-01 11:30:00,74998.5475704206
23,2013-01-01 12:00:00,75231.9850834939
24,2013-01-01 12:30:00,75217.40442023473
25,2013-01-01 13:00:00,74888.26956850525
26,2013-01-01 13:30:00,74233.21061496221
27,2013-01-01 14:00:00,73311.02056428055
28,2013-01-01 14:30:00,72246.38475545059
29,2013-01-01 15:00:00,71206.61292267786
30,2013-01-01 15:30:00,70364.96438970373
31,2013-01-01 16:00:00,69860.01053373085
32,2013-01-01 16:30:00,69761.79816534114
33,2013-01-01 17:00:00,70053.97933125892
34,2013-01-01 17:30:00,70636.96424546861
35,2013-01-01 18:00:00,71351.62534404613
36,2013-01-01 18:30:00,72017.61451334185
37,2013-01-01 19:00:00,72476.42832011776
38,2013-01-01 19:30:00,72628.03832439735
39,2013-01-01 20:00:00,72451.56997859772
40,2013-01-01 20:30:00,72004.73810323572
41,2013-01-01 21:00:00,71402.41282628327
42,2013-01-01 21:30:00,70780.28632017742
43,2013-01-01 22:00:00,70253.63604802059
44,2013-01-01 22:30:00,69882.54493906022
45,2013-01-01 23:00:00,69653.25937699317
46,2013-01-01 23:30:00,69481.07075401772
47,2013-01-02 00:00:00,69234.32582990054
48,2013-01-02 00:30:00,68773.43841614253
49,2013-01-02 01:00:00,67994.61893143754
50,2013-01-02 01:30:00,66866.57651446086
51,2013-01-02 02:00:00,65450.08761158025
52,2013-01-02 02:30:00,63894.651539766295
53,2013-01-02 03:00:00,62412.340796104305
54,2013-01-02 03:30:00,61234.85972817475
55,2013-01-02 04:00:00,60564.20007248933
56,2013-01-02 04:30:00,60528.979026852496
57,2013-01-02 05:00:00,61157.123818650434
58,2013-01-02 05:30:00,62371.40620144151
59,2013-01-02 06:00:00,64008.52946939661
60,2013-01-02 06:30:00,65856.55342935046
61,2013-01-02 07:00:00,67700.95386618635
62,2013-01-02 07:30:00,69367.70854592079
63,2013-01-02 08:00:00,70752.94565846227
64,2013-01-02 08:30:00,71832.53619306126
65,2013-01-02 09:00:00,72650.50001231818
66,2013-01-02 09:30:00,73290.74248453096
67,2013-01-02 10:00:00,73840.93507910095
68,2013-01-02 10:30:00,74359.16840155354
69,2013-01-02 11:00:00,74852.88760347012
70,2013-01-02 11:30:00,75275.91118589666
71,2013-01-02 12:00:00,75544.07589671978
72,2013-01-02 12:30:00,75564.69641177225
73,2013-01-02 13:00:00,75271.05012545215
74,2013-01-02 13:30:00,74651.5850265801
75,2013-01-02 14:00:00,73764.91704383637
76,2013-01-02 14:30:00,72735.55996333255
77,2013-01-02 15:00:00,71730.65796419277
78,2013-01-02 15:30:00,70923.31125958142
79,2013-01-02 16:00:00,70451.93897826016
80,2013-01-02 16:30:00,70386.44293194961
81,2013-01-02 17:00:00,70710.33777384416
82,2013-01-02 17:30:00,71323.90425380605
83,2013-01-02 18:00:00,72067.8935634611
84,2013-01-02 18:30:00,72761.84482172962
85,2013-01-02 19:00:00,73247.15052763301
86,2013-01-02 19:30:00,73423.68706028366
87,2013-01-02 20:00:00,73270.49373158536
88,2013-01-02 20:30:00,72845.2083787093
89,2013-01-02 21:00:00,72262.63338556509
90,2013-01-02 21:30:00,71658.40246627666
91,2013-01-02 22:00:00,71147.74392259304
92,2013-01-02 22:30:00,70790.70079561963
93,2013-01-02 23:00:00,70573.48879580927
94,2013-01-02 23:30:00,70411.37776427223
95,2013-01-03 00:00:00,70172.70190623011
96,2013-01-03 00:30:00,69717.87131597454
97,2013-01-03 01:00:00,68943.10134199492
98,2013-01-03 01:30:00,67817.11447786765
99,2013-01-03 02:00:00,66400.70869844516
100,2013-01-03 02:30:00,64843.41274223307
101,2013-01-03 03:00:00,63357.336113117315
102,2013-01-03 03:30:00,62174.227416267975
103,2013-01-03 04:00:00,61496.12953795344
104,2013-01-03 04:30:00,61451.717335301626
105,2013-01-03 05:00:00,62068.98180070954
106,2013-01-03 05:30:00,63270.76413433478
107,2013-01-03 06:00:00,64893.84231605592
108,2013-01-03 06:30:00,66726.35561838484
109,2013-01-03 07:00:00,68553.86359816956
110,2013-01-03 07:30:00,70202.43161273704
111,2013-01-03 08:00:00,71568.27876484251
112,2013-01-03 08:30:00,72627.36977141547
113,2013-01-03 09:00:00,73423.82052350076
114,2013-01-03 09:30:00,74041.63419954007
115,2013-01-03 10:00:00,74568.58133853319
116,2013-01-03 10:30:00,75062.85235179494
117,2013-01-03 11:00:00,75531.99241029887
118,2013-01-03 11:30:00,75929.91972880963
119,2013-01-03 12:00:00,76172.56994811364
120,2013-01-03 12:30:00,76167.35530875987
121,2013-01-03 13:00:00,75847.64894218626
122,2013-01-03 13:30:00,75201.99225821297
123,2013-01-03 14:00:00,74289.09181459894
124,2013-01-03 14:30:00,73233.5487730019
125,2013-01-03 15:00:00,72202.59098883311
126,2013-01-03 15:30:00,71369.39822488299
127,2013-01-03 16:00:00,70872.46462416029
128,2013-01-03 16:30:00,70781.76209012257
129,2013-01-03 17:00:00,71080.87008036251
130,2013-01-03 17:30:00,71670.12852056426
131,2013-01-03 18:00:00,72390.34183417543
132,2013-01-03 18:30:00,73061.09613818802
133,2013-01-03 19:00:00,73523.82443396906
134,2013-01-03 19:30:00,73678.43687481464
135,2013-01-03 20:00:00,73503.99961415395
