,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-01-01,58861.21614884677,71220.51836600731,76236.4493198439,58861.21614884677,58861.21614884677,14672.17140127101,14672.17140127101,14672.17140127101,14672.17140127101,14672.17140127101,14672.17140127101,0.0,0.0,0.0,73533.38755011778
1,2013-02-01,58370.207046294796,69199.45483521615,74467.22923400719,58370.207046294796,58370.207046294796,13386.714159797646,13386.714159797646,13386.714159797646,13386.714159797646,13386.714159797646,13386.714159797646,0.0,0.0,0.0,71756.92120609245
2,2013-03-01,57926.71495366719,61759.44591877098,67013.41825299311,57926.71495366719,57926.71495366719,6344.31200128206,6344.31200128206,6344.31200128206,6344.31200128206,6344.31200128206,6344.31200128206,0.0,0.0,0.0,64271.02695494925
3,2013-04-01,57435.705845058605,52136.1029213605,57333.62113357376,57435.705845058605,57435.705845058605,-2710.4394163773036,-2710.4394163773036,-2710.4394163773036,-2710.4394163773036,-2710.4394163773036,-2710.4394163773036,0.0,0.0,0.0,54725.2664286813
4,2013-05-01,56960.53573995353,46529.07700352576,51354.557373670585,56960.53573995353,56960.53573995353,-7979.658179580366,-7979.658179580366,-7979.658179580366,-7979.658179580366,-7979.658179580366,-7979.658179580366,0.0,0.0,0.0,48980.87756037316
5,2013-06-01,56469.52663134493,44735.172788445496,49807.61868845743,56469.52663134493,56469.52663134493,-9233.360975303507,-9233.360975303507,-9233.360975303507,-9233.360975303507,-9233.360975303507,-9233.360975303507,0.0,0.0,0.0,47236.16565604143
6,2013-07-01,55994.35654495559,44588.278856619654,49596.78781525423,55994.35654495559,55994.35654495559,-8822.403984885215,-8822.403984885215,-8822.403984885215,-8822.403984885215,-8822.403984885215,-8822.403984885215,0.0,0.0,0.0,47171.95256007038
7,2013-08-01,55503.347455686606,40831.260302568895,46063.96662510212,55503.347455686606,55503.347455686606,-12034.704358380104,-12034.704358380104,-12034.704358380104,-12034.704358380104,-12034.704358380104,-12034.704358380104,0.0,0.0,0.0,43468.6430973065
8,2013-09-01,55012.53109272991,43729.20275029072,48836.12857995429,55012.53109272991,55012.53109272991,-8731.593145477193,-8731.593145477193,-8731.593145477193,-8731.593145477193,-8731.593145477193,-8731.593145477193,0.0,0.0,0.0,46280.937947252714
9,2013-10-01,54537.54751567503,47212.36417647273,52251.084725531364,54537.54751567503,54537.54751567503,-4718.643345192912,-4718.643345192912,-4718.643345192912,-4718.643345192912,-4718.643345192912,-4718.643345192912,0.0,0.0,0.0,49818.90417048212
10,2013-11-01,54046.731152718334,57342.39660432592,62262.36057780501,54046.731152718334,54046.731152718334,5754.8627086128345,5754.8627086128345,5754.8627086128345,5754.8627086128345,5754.8627086128345,5754.8627086128345,0.0,0.0,0.0,59801.59386133117
11,2013-12-01,53571.747571219756,62317.3996400785,67476.77108024208,53571.747571219756,53571.747571219756,11301.835021890849,11301.835021890849,11301.835021890849,11301.835021890849,11301.835021890849,11301.835021890849,0.0,0.0,0.0,64873.58259311061
12,2014-01-01,53080.93120367123,65432.08673093712,70467.54941605167,53080.93120367123,53080.93120367123,14825.101503092932,14825.101503092932,14825.101503092932,14825.101503092932,14825.101503092932,14825.101503092932,0.0,0.0,0.0,67906.03270676416
13,2014-02-01,53186.450583609236,64469.554546022126,69571.87933779493,53186.450583609236,53186.450583609236,13850.658049849988,13850.658049849988,13850.658049849988,13850.658049849988,13850.658049849988,13850.658049849988,0.0,0.0,0.0,67037.10863345923
14,2014-03-01,53281.75841065001,57220.96295432351,62097.452694310115,53281.75841065001,53281.75841065001,6285.417582727026,6285.417582727026,6285.417582727026,6285.417582727026,6285.417582727026,6285.417582727026,0.0,0.0,0.0,59567.17599337703
15,2014-04-01,53387.277790588014,47985.254617899256,53089.86702220381,53387.277790588014,53387.277790588014,-2834.9745971268158,-2834.9745971268158,-2834.9745971268158,-2834.9745971268158,-2834.9745971268158,-2834.9745971268158,0.0,0.0,0.0,50552.3031934612
16,2014-05-01,53494.956412637,43144.590987934884,47963.31571964191,53494.956412637,53494.956412637,-7966.489370409061,-7966.489370409061,-7966.489370409061,-7966.489370409061,-7966.489370409061,-7966.489370409061,0.0,0.0,0.0,45528.467042227945
