,ds,yhat
0,2013-01-01,71159.98078111696
1,2013-01-02,71702.7057254329
2,2013-01-03,72063.73518505905
3,2013-01-04,71922.03984355184
4,2013-01-05,67481.19650629091
5,2013-01-06,65624.8905982946
6,2013-01-07,72747.82297844399
7,2013-01-08,74695.0900463867
8,2013-01-09,75366.84904307482
9,2013-01-10,75796.38322397746
10,2013-01-11,75662.09651010041
11,2013-01-12,71168.26309623786
12,2013-01-13,69200.50051785904
13,2013-01-14,76156.6186460275
14,2013-01-15,77885.91508534047
15,2013-01-16,78293.73104361157
16,2013-01-17,78419.38513324567
17,2013-01-18,77948.01803238818
18,2013-01-19,73091.17726499765
19,2013-01-20,70742.1147397217
20,2013-01-21,77306.45390724187
21,2013-01-22,78641.30153947906
22,2013-01-23,78659.62274827872
23,2013-01-24,78408.00115538089
24,2013-01-25,77578.32138152557
25,2013-01-26,72388.20703174185
26,2013-01-27,69736.19031283454
27,2013-01-28,76032.27312705894
28,2013-01-29,77136.95704358435
29,2013-01-30,76965.56251644928
30,2013-01-31,76565.96032442988
31,2013-02-01,75630.2527511384
32,2013-02-02,70375.23731703042
33,2013-02-03,67697.62813127432
34,2013-02-04,74004.6929711287
35,2013-02-05,75153.38113633549
36,2013-02-06,75054.75954325098
37,2013-02-07,74751.87666177095
38,2013-02-08,73931.58806740132
39,2013-02-09,68805.17240354532
40,2013-02-10,66263.7086455537
41,2013-02-11,72708.8685518704
42,2013-02-12,73992.19519552245
43,2013-02-13,74019.68106793879
44,2013-02-14,73829.76167064717
45,2013-02-15,73105.25506511913
46,2013-02-16,68054.0733435178
47,2013-02-17,65564.67462361776
48,2013-02-18,72036.90776516356
49,2013-02-19,73321.31965454442
50,2013-02-20,73323.7381662717
51,2013-02-21,73083.24700097412
52,2013-02-22,72284.0838066384
53,2013-02-23,67136.28910238943
54,2013-02-24,64531.076734080365
55,2013-02-25,70871.58069054865
56,2013-02-26,72012.05118446285
57,2013-02-27,71862.31649927373
58,2013-02-28,71465.63043242216
59,2013-03-01,70510.44050395873
60,2013-03-02,65210.90823727386
61,2013-03-03,62462.15594610237
62,2013-03-04,68670.89837459297
63,2013-03-05,69694.53532711606
64,2013-03-06,69445.52464807678
65,2013-03-07,68969.15778788726
66,2013-03-08,67955.2750135843
67,2013-03-09,62618.75289361691
68,2013-03-10,59854.739214791094
69,2013-03-11,66069.29378695601
70,2013-03-12,67118.51076835052
71,2013-03-13,66912.94077533335
72,2013-03-14,66495.43335910043
73,2013-03-15,65552.93475032714
74,2013-03-16,60297.07090527965
75,2013-03-17,57619.48805564167
76,2013-03-18,63922.60599069712
77,2013-03-19,65058.8563013329
78,2013-03-20,64935.22037012858
79,2013-03-21,64591.184236247514
80,2013-03-22,63710.64190720377
81,2013-03-23,58502.57404388365
82,2013-03-24,55856.47142412803
83,2013-03-25,62173.156006441306
84,2013-03-26,63304.06987351201
85,2013-03-27,63155.8454023214
86,2013-03-28,62768.272902261335
87,2013-03-29,61826.196980072484
88,2013-03-30,56540.16882469566
89,2013-03-31,53801.82465311958
90,2013-04-01,60014.64451668504
91,2013-04-02,61033.16362560324
92,2013-04-03,60767.45185841549
93,2013-04-04,60260.98039147526
94,2013-04-05,59202.40969415597
95,2013-04-06,53806.129274648156
96,2013-04-07,50967.52272108908
97,2013-04-08,57093.615555917124
98,2013-04-09,58042.18129839828
99,2013-04-10,57726.12446408103
100,2013-04-11,57191.262234856455
101,2013-04-12,56128.04150050256
102,2013-04-13,50752.023698048295
103,2013-04-14,47959.11256416318
104,2013-04-15,54156.1833735592
105,2013-04-16,55200.18957032795
106,2013-04-17,55002.565475727984
107,2013-04-18,54607.04620826848
108,2013-04-19,53701.44038475424
109,2013-04-20,48498.1863976912
110,2013-04-21,45889.66530272129
111,2013-04-22,52278.92641992231
112,2013-04-23,53518.89877049978
113,2013-04-24,53516.904013911575
114,2013-04-25,53312.58885696762
115,2013-04-26,52589.809285494346
116,2013-04-27,47557.29423546119
117,2013-04-28,45104.05869004512
118,2013-04-29,51630.2194774077
119,2013-04-30,52986.28436160111
120,2013-05-01,53077.72793298569
121,2013-05-02,52942.97054329963
122,2013-05-03,52265.29138908056
123,2013-05-04,47253.50262725323
124,2013-05-05,44797.35430858433
125,2013-05-06,51298.32373883934
126,2013-05-07,52608.86071638432
127,2013-05-08,52636.90352083231
128,2013-05-09,52423.78368114394
129,2013-05-10,51656.052863892575
130,2013-05-11,46546.06129665039
131,2013-05-12,43987.260318437446
132,2013-05-13,50384.885647731026
133,2013-05-14,51595.09588865969
134,2013-05-15,51529.38420705369
135,2013-05-16,51232.38421220392
136,2013-05-17,50393.60616453111
137,2013-05-18,45227.93548813209
138,2013-05-19,42630.868400654566
139,2013-05-20,49009.14308241921
140,2013-05-21,50219.84229597087
141,2013-05-22,50174.78629721692
142,2013-05-23,49918.337480198796
143,2013-05-24,49139.15276847361
144,2013-05-25,44050.71511794411
145,2013-05-26,41546.617842177606
146,2013-05-27,48031.25862960431
147,2013-05-28,49359.01720621524
